,COUNTRY,POP,AREA,GDP,CONT,IND_DAY
CHN,China,1398.72,9596.96,12234.78,Asia,(missing)
IND,Indonesia,268.07,1910.93,1015.54,Asia,1945-08-17
USA,US,329.74,9833.52,19485.39,N.America,1776-07-04
BRA,Brazil,210.32,8515.77,2055.51,S.America,1822-09-07
PAK,Pakistan,205.71,881.91,302.14,Africa,1947-08-14
NGA,Nigeria,200.96,923.77,375.77,Africa,1960-10-01
